,wdei_year_ave,etr_year_ave,aet_year_ave,tmax_high_quart,prcp_low_quart,prcp_high_quart,nprune,degree,size,decay
Ambrosia.type,30,5,5,5,5,5,NULL,1,20,1
Artemisia,5,5,5,5,5,5,NULL,1,20,1
Alnus,5,5,5,5,5,5,NULL,1,20,1
Corylus,20,5,5,5,5,5,NULL,1,20,1
Ostrya.Carpinus,5,5,5,5,5,5,NULL,1,20,1
Betula,5,5,5,5,5,5,NULL,1,20,1
Castanea,5,5,5,5,5,5,NULL,1,20,1
Fagus,5,5,5,5,5,5,NULL,1,20,1
Quercus,5,5,5,5,5,5,NULL,1,20,1
Carya,5,5,5,5,5,5,NULL,1,20,1
Juglans,5,5,5,5,5,5,NULL,1,20,1
Tilia,5,5,20,5,5,5,NULL,1,20,1
Fraxinus,5,5,5,5,5,5,NULL,1,20,1
Abies,5,5,5,5,5,5,NULL,1,20,1
Larix,5,5,20,5,5,5,NULL,1,20,1
Picea,5,5,5,5,5,5,NULL,1,20,1
Tsuga,5,5,5,5,5,5,NULL,1,20,1
Platanus,5,5,5,5,5,5,NULL,1,20,1
Rumex.Oxyria,5,10,30,5,5,5,NULL,1,20,1
Populus,5,5,5,5,5,5,NULL,1,20,1
Salix,5,5,5,5,5,5,NULL,1,20,1
Acer,5,5,5,10,5,5,NULL,1,20,1
Ulmus,5,5,5,5,5,5,NULL,1,20,1
Pinus,5,5,5,5,5,5,NULL,1,20,1
CLM,,,,,,,NULL,1,20,1
